X	NACA 642A015-Re=  700000-Alpha= 0.00	NACA 642A015-Re=  700000-Alpha= 4.00	NACA 642A015-Re=  700000-Alpha= 8.00	NACA 642A015-Re=  700000-Alpha=12.00
0.000179	0.989794	-0.05411971	-2.467562	-5.531605
0	1.004939	-0.003722834	-2.647315	-6.06306
0.000424	0.9538164	0.6209043	-0.9311197	-3.118687
0.00112	0.8372172	0.8186923	-0.4260095	-2.346088
0.00213	0.666725	0.9501199	0.04880352	-1.540988
0.003477	0.4693283	1.002161	0.4157834	-0.8489746
0.005195	0.2974298	0.99296	0.6959127	-0.225157
0.007284	0.2025379	0.9494234	0.872698	0.2632231
0.00963	0.1296982	0.8943606	0.9584196	0.5526247
0.012192	0.06418838	0.8346942	0.9957832	0.736192
0.014967	0.007619222	0.7753667	1.004917	0.8532921
0.017964	-0.03854552	0.71772	0.996383	0.9279476
0.021191	-0.07469098	0.6643644	0.9768834	0.972596
0.02466	-0.1026296	0.6151807	0.9505782	0.9961924
0.028376	-0.1311368	0.566977	0.9196854	1.004646
0.032363	-0.1575875	0.5207954	0.8856835	1.002277
0.036646	-0.1812972	0.4771489	0.8499114	0.9917182
0.041257	-0.2010424	0.4364955	0.8131773	0.9751061
0.046232	-0.2168605	0.3989561	0.7763136	0.95376
0.05161	-0.2306927	0.3634262	0.7392761	0.9289662
0.05744	-0.2445752	0.3285468	0.7017002	0.9010234
0.063785	-0.258093	0.2945224	0.6638049	0.8706445
0.070715	-0.270541	0.2618317	0.6259754	0.838201
0.078312	-0.2832354	0.229445	0.5876834	0.8037715
0.086669	-0.2971632	0.1964832	0.548397	0.7671809
0.095886	-0.3116333	0.1633659	0.5083838	0.7286821
0.106063	-0.3254087	0.1309934	0.46827	0.6887544
0.117284	-0.3381184	0.09965828	0.4283517	0.647754
0.129599	-0.3495266	0.06963007	0.3889907	0.6061408
0.143013	-0.3596702	0.04106757	0.3505425	0.5644216
0.1575	-0.3694529	0.01341919	0.3128157	0.5226992
0.173038	-0.3801409	-0.01430838	0.2751596	0.4806387
0.189579	-0.3903859	-0.04094384	0.2385621	0.439109
0.207028	-0.3996481	-0.06595702	0.2035626	0.3986842
0.225256	-0.4076511	-0.08906933	0.1704848	0.3597654
0.244118	-0.4149614	-0.110745	0.1390415	0.3222545
0.263469	-0.4219367	-0.131301	0.1090212	0.2860663
0.283181	-0.4287827	-0.150952	0.08025969	0.2511145
0.303144	-0.4353595	-0.1696251	0.05281019	0.2174688
0.323264	-0.4419983	-0.1877195	0.02628622	0.1847929
0.343458	-0.448037	-0.2047441	0.001063996	0.1534008
0.363646	-0.4530617	-0.2204712	-0.02271926	0.1233952
0.383777	-0.455477	-0.2336279	-0.04402507	0.09566144
0.403883	-0.4515055	-0.2407597	-0.05977048	0.07299015
0.424074	-0.4390975	-0.2396561	-0.06778441	0.05749323
0.444448	-0.4216589	-0.2332861	-0.0706587	0.04688377
0.465033	-0.4021796	-0.2244487	-0.07102847	0.03869143
0.485806	-0.3815956	-0.2136439	-0.06932834	0.03254439
0.50675	-0.3610891	-0.2012897	-0.06589332	0.02817364
0.52787	-0.3420084	-0.1876754	-0.06092385	0.02542212
0.549163	-0.3254404	-0.1733515	-0.05495443	0.02374982
0.57061	-0.3113117	-0.1585947	-0.04821426	0.02290675
0.592191	-0.2989094	-0.1435678	-0.04070809	0.02287048
0.613901	-0.2880299	-0.1284473	-0.03215946	0.02395942
0.635751	-0.2780543	-0.1138311	-0.02263766	0.02610903
0.657749	-0.2681229	-0.1003813	-0.01220997	0.02929927
0.6799	-0.1877916	-0.0884933	-0.001189837	0.03320777
0.70222	-0.103492	-0.07798069	0.01039023	0.03801211
0.724737	-0.07396831	-0.06845018	0.02205383	0.04328357
0.747457	-0.05412747	-0.05963228	0.03330183	0.04840027
0.770326	-0.03554394	-0.05103384	0.04360519	0.05202647
0.79326	-0.01652883	0.005706161	0.0531622	0.05432275
0.816192	0.002929314	0.06331055	0.06209013	0.05531855
0.83907	0.02312513	0.08163811	0.07051976	0.05519035
0.861821	0.04448775	0.09233739	0.07853905	0.05411787
0.884347	0.06720436	0.1041965	0.08615457	0.05199848
0.90654	0.09213957	0.1189493	0.09337169	0.04891276
0.928265	0.1200059	0.1369334	0.1001227	0.04451426
0.949291	0.1524357	0.1594176	0.1063305	0.0386059
0.969325	0.1912627	0.1884244	0.1119166	0.03026534
0.988152	0.2410181	0.2299087	0.1317461	0.01852155
1	0.2876074	0.2776026	0.1708204	-0.000496017
